%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1634830453782196872,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830453800006805,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830453821621699,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830453839753221,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830453860786014,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830453880395112,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830453900807583,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830453920035870,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830453939863832,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830453959369113,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830453979656044,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830453999108496,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454019273005,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454040579597,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454083650437,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454083667789,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454129364719,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454129377153,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454176053096,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454176204092,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454219638138,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454219650983,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454220301464,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454240592423,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454259329921,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454303762819,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454303774861,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454352691757,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454352703219,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454397224413,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454397242877,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454439969755,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454439980265,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454440042072,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454459728638,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454479253967,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454523796913,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454523814266,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454567807481,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454567822940,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454611869216,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454612031593,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454659820093,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454659833328,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
1634830454660894937,-0.107675322552,-0.9034975577,0.0,0.0,-0.0,-0.949486446391,-0.313808043428
