%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1634830866056583704,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866073358534,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866092771157,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866113639485,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866133109706,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866152614784,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866173172694,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866193120991,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866214206770,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866232075020,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866252691161,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866273338811,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866293026795,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866312207348,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866332642726,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866355569661,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866372649879,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866393130703,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866412562582,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866433073594,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866452197060,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866472444492,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866492884960,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866513285283,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866533007171,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866552941981,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866573439919,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866592971045,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866611996074,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866632084586,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866652048302,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866673060873,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866691981394,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866712881853,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866732813418,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866752967273,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866771732991,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866792731235,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866813268980,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866833181979,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866851704055,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866871774913,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866891614523,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866914737419,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866933214560,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866952840247,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866972726957,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830866992095386,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867011973910,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867032990911,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867052984683,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867071778794,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867092382190,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867113070338,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867131922709,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867152628971,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867174108215,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867191513478,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867213016157,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867232813247,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867252106494,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867273094439,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867292499296,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867314574989,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867331771548,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867351362708,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867372504565,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867392971322,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
1634830867412690916,0.311620800227,0.796709767597,0.0,0.0,0.0,-0.756310118994,0.654213270966
