%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1634830732769312505,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830732779113837,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830732799517526,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830732818957412,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830732839863461,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830732858909462,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830732879202361,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830732900190907,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830732919159571,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830732939639935,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830732958724237,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830732979030000,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830732999207853,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830733018725826,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830733071993088,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830733072013587,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830733115734441,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830733115751643,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830733158739940,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
1634830733158755079,-0.245920636713,-0.746700783897,0.0,0.0,0.0,0.952817280993,0.303544443272
